,지역(구),폐업연월,경양식,기타,김밥(도시락),까페,분식,뷔페식,식육(숯불구이),외국음식전문점(인도태국등),일식,정종/대포집/소주방,중국식,통닭(치킨),패밀리레스트랑,패스트푸드,한식,횟집
363,동작구,201902,1.639344262,0.653594771,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,3.703703704,0.819672131,0.0,0.0,1.418439716,0.0
364,동작구,201903,1.639344262,3.921568627,0.0,0.0,1.204819277,0.0,0.0,0.0,3.846153846,0.0,0.0,1.639344262,0.0,0.0,1.773049645,25.0
365,동작구,201904,0.0,2.614379085,0.0,0.0,1.204819277,0.0,0.0,0.0,3.846153846,4.444444444,0.0,0.819672131,0.0,14.28571429,2.836879433,0.0
366,동작구,201905,4.918032787,2.614379085,0.0,0.0,3.614457831,0.0,0.0,14.28571429,0.0,0.0,0.0,4.918032787,0.0,0.0,2.836879433,0.0
367,동작구,201906,0.0,1.960784314,0.0,0.0,8.43373494,0.0,0.0,0.0,7.692307692,0.0,0.0,0.819672131,0.0,14.28571429,1.418439716,0.0
368,동작구,201907,3.278688525,1.307189542,0.0,0.0,3.614457831,0.0,6.25,0.0,3.846153846,2.222222222,3.703703704,0.819672131,0.0,14.28571429,1.418439716,0.0
369,동작구,201908,4.918032787,2.614379085,0.0,0.0,3.614457831,0.0,6.25,0.0,0.0,0.0,0.0,4.098360656,0.0,0.0,2.482269504,0.0
370,동작구,201909,3.278688525,1.960784314,0.0,0.0,1.204819277,0.0,0.0,0.0,3.846153846,2.222222222,0.0,0.819672131,0.0,14.28571429,4.255319149,0.0
371,동작구,201910,6.557377049,4.575163399,25.0,0.0,4.819277108,0.0,0.0,0.0,0.0,2.222222222,3.703703704,2.459016393,0.0,14.28571429,3.191489362,0.0
372,동작구,201911,8.196721311,3.267973856,0.0,7.692307692,4.819277108,0.0,6.25,14.28571429,7.692307692,4.444444444,7.407407407,1.639344262,0.0,0.0,3.90070922,0.0
373,동작구,201912,8.196721311,3.267973856,0.0,0.0,6.024096386,0.0,0.0,0.0,0.0,13.33333333,7.407407407,9.016393443,0.0,14.28571429,5.673758865,0.0
374,동작구,202001,6.557377049,7.843137255,25.0,23.07692308,10.84337349,0.0,6.25,0.0,7.692307692,15.55555556,0.0,10.6557377,0.0,0.0,8.865248227,0.0
396,마포구,201902,4.787234043,1.338199513,0.0,2.024291498,0.0,0.0,0.0,2.083333333,1.863354037,0.0,3.174603175,4.137931034,0.0,0.0,2.913907285,0.0
397,마포구,201903,2.127659574,1.459854015,0.0,2.834008097,2.23880597,20.0,0.0,2.083333333,5.590062112,0.0,3.174603175,4.827586207,14.28571429,6.25,3.57615894,0.0
