지역(구),폐업연월,경양식,기타,김밥(도시락),까페,분식,뷔페식,식육(숯불구이),외국음식전문점(인도태국등),일식,정종/대포집/소주방,중국식,통닭(치킨),패밀리레스트랑,패스트푸드,한식,횟집
관악구,202101,4,2,0,0,4,0,1,0,2,0,2,6,0,1,24,0
관악구,202102,2,2,0,0,2,0,1,0,2,0,0,1,0,0,18,0
관악구,202103,3,1,0,2,7,0,1,0,3,0,3,5,0,1,22,0
관악구,202104,4,5,0,0,4,0,0,0,2,3,2,7,0,0,32,0
관악구,202105,6,5,0,0,5,0,2,2,6,3,1,12,0,0,17,0
관악구,202106,7,2,0,0,8,0,0,0,1,1,4,6,0,0,22,1
관악구,202107,4,4,0,0,9,0,1,1,1,1,1,3,0,0,24,2
관악구,202108,6,3,1,1,9,1,1,2,0,1,1,9,0,0,17,0
관악구,202109,7,1,0,1,7,1,0,0,2,2,1,12,0,0,23,0
관악구,202110,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
광진구,201902,5,2,0,0,5,0,0,0,0,2,2,10,0,0,15,0
광진구,201903,0,2,0,3,3,0,0,0,4,0,3,7,0,0,11,0
광진구,201904,2,4,0,2,4,0,0,0,3,0,4,5,0,0,20,0
광진구,201905,1,3,1,0,2,0,0,2,5,1,2,6,0,1,16,0
광진구,201906,3,0,0,1,5,0,0,0,2,1,3,3,0,0,8,0
광진구,201907,1,3,0,1,3,0,0,0,1,0,0,8,0,0,13,0
광진구,201908,2,1,0,0,4,0,0,0,1,0,2,4,0,0,13,0
광진구,201909,1,2,1,1,3,0,0,0,0,1,0,5,0,0,13,0
광진구,201910,3,3,1,0,5,0,0,0,1,0,2,8,0,1,14,0
광진구,201911,4,4,3,1,2,0,0,0,1,0,2,9,0,0,11,0
광진구,201912,1,2,0,4,2,1,0,0,3,0,3,9,1,0,9,0
광진구,202001,4,2,0,1,5,2,0,0,4,1,2,3,0,0,7,0
광진구,202002,2,2,0,0,6,0,0,0,2,0,0,3,0,0,9,0
광진구,202003,2,3,0,1,4,0,0,0,3,0,1,4,0,0,12,0
광진구,202004,4,2,0,1,2,0,0,0,1,0,0,7,0,0,7,0
광진구,202005,3,2,1,1,3,0,0,0,3,1,0,1,0,0,13,0
광진구,202006,1,1,1,2,1,0,0,0,1,0,3,2,0,0,8,0
광진구,202007,3,1,0,0,3,0,0,1,2,0,1,7,0,0,13,0
광진구,202008,2,6,1,1,2,0,0,0,4,2,1,1,0,0,8,0
광진구,202009,0,2,1,1,4,0,0,0,1,0,1,3,0,1,8,0
광진구,202010,3,4,0,0,3,0,0,0,1,0,2,9,0,0,17,0
광진구,202011,2,7,1,1,2,0,0,1,0,1,2,9,0,0,19,0
광진구,202012,5,4,1,0,8,0,0,0,2,3,1,3,1,0,22,0
광진구,202101,2,2,0,1,1,0,0,0,1,0,1,1,0,0,11,1
광진구,202102,1,1,0,0,4,0,0,1,3,0,0,3,0,0,7,0
광진구,202103,1,4,0,1,5,0,0,0,3,0,3,5,0,0,4,0
광진구,202104,1,8,0,0,5,2,0,1,6,1,3,10,0,0,25,0
광진구,202105,1,3,0,0,2,0,0,0,0,0,0,8,0,0,17,0
광진구,202106,3,5,0,1,4,0,0,0,2,0,0,4,0,0,10,0
