,지역(구),폐업연월,경양식,기타,김밥(도시락),까페,분식,뷔페식,식육(숯불구이),외국음식전문점(인도태국등),일식,정종/대포집/소주방,중국식,통닭(치킨),패밀리레스트랑,패스트푸드,한식,횟집
24,강남구,202102,2.43902439,2.559414991,2.173913043,6.666666667,2.654867257,5.263157895,0.0,3.448275862,2.057613169,0.0,3.260869565,1.449275362,0.0,1.388888889,2.457185406,0.0
25,강남구,202103,3.201219512,3.473491773,0.0,5.0,3.097345133,0.0,11.11111111,0.0,2.469135802,14.28571429,2.173913043,0.724637681,33.33333333,2.777777778,3.052866716,0.0
26,강남구,202104,3.353658537,3.290676417,2.173913043,5.0,3.097345133,10.52631579,0.0,1.724137931,3.29218107,14.28571429,4.347826087,2.898550725,0.0,1.388888889,3.871928518,0.0
27,강남구,202105,3.81097561,3.10786106,4.347826087,1.666666667,4.424778761,0.0,0.0,1.724137931,2.057613169,0.0,4.347826087,2.898550725,0.0,2.777777778,2.755026061,0.0
28,강남구,202106,1.981707317,3.473491773,6.52173913,1.666666667,2.654867257,5.263157895,0.0,5.172413793,2.469135802,0.0,0.0,3.623188406,0.0,1.388888889,4.244229337,0.0
29,강남구,202107,1.981707317,5.118829982,0.0,0.0,2.212389381,5.263157895,0.0,10.34482759,3.29218107,0.0,9.782608696,6.52173913,16.66666667,0.0,2.903946389,50.0
30,강남구,202108,2.134146341,3.839122486,2.173913043,0.0,2.654867257,0.0,0.0,1.724137931,3.703703704,0.0,2.173913043,5.797101449,0.0,1.388888889,2.53164557,0.0
31,강남구,202109,2.591463415,4.936014625,2.173913043,0.0,4.867256637,0.0,0.0,3.448275862,1.646090535,14.28571429,2.173913043,5.797101449,16.66666667,1.388888889,3.723008191,0.0
32,강남구,202110,0.457317073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.411522634,0.0,1.086956522,0.724637681,0.0,0.0,0.521221147,0.0
45,강동구,202002,2.857142857,5.882352941,0.0,0.0,6.818181818,0.0,11.11111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.492537313,27.27272727
46,강동구,202003,8.571428571,2.205882353,0.0,0.0,2.272727273,0.0,0.0,0.0,0.0,9.523809524,9.375,2.097902098,0.0,28.57142857,3.171641791,0.0
47,강동구,202004,0.0,5.147058824,0.0,12.5,0.0,22.22222222,11.11111111,0.0,8.823529412,14.28571429,3.125,2.097902098,0.0,0.0,2.052238806,0.0
48,강동구,202005,0.0,2.941176471,0.0,0.0,3.409090909,0.0,0.0,20.0,0.0,4.761904762,0.0,2.097902098,0.0,0.0,1.305970149,0.0
49,강동구,202006,5.714285714,1.470588235,0.0,0.0,2.272727273,0.0,0.0,0.0,5.882352941,0.0,3.125,2.097902098,0.0,0.0,1.865671642,9.090909091
50,강동구,202007,0.0,0.735294118,0.0,0.0,0.0,0.0,11.11111111,0.0,5.882352941,0.0,3.125,3.496503497,0.0,14.28571429,3.171641791,0.0
51,강동구,202008,2.857142857,2.205882353,0.0,0.0,2.272727273,0.0,0.0,0.0,5.882352941,4.761904762,6.25,4.195804196,0.0,0.0,3.544776119,9.090909091
52,강동구,202009,0.0,2.941176471,0.0,6.25,2.272727273,11.11111111,0.0,0.0,2.941176471,0.0,3.125,5.594405594,0.0,0.0,1.865671642,0.0
